Region,Provider,Specialty,KPI Value,KPI Name,Date
London,Shirley Oaks Hospital – Circle,Orthopaedics,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,Shirley Oaks Hospital – Circle,Pain Management,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,Shirley Oaks Hospital – Circle,Urology,13 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,St Anthony’s Hospital – Spire,Cardiology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,St Anthony’s Hospital – Spire,General Surgery,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,St Anthony’s Hospital – Spire,Neurosurgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,St Anthony’s Hospital – Spire,Orthopaedics,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,St Anthony’s Hospital – Spire,Pain Management,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,St Anthony’s Hospital – Spire,Urology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,St Anthony’s Hospital – Spire,Vascular,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,St George`s University Hospitals NHS Foundation Trust,Breast,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,St George`s University Hospitals NHS Foundation Trust,Cardiology,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,St George`s University Hospitals NHS Foundation Trust,Colorectal,16 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,St George`s University Hospitals NHS Foundation Trust,Dermatology,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,St George`s University Hospitals NHS Foundation Trust,"Ear, Nose and Throat",17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,St George`s University Hospitals NHS Foundation Trust,Gastroenterology,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,St George`s University Hospitals NHS Foundation Trust,General Surgery,24 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,St George`s University Hospitals NHS Foundation Trust,Gynaecology,17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,St George`s University Hospitals NHS Foundation Trust,Haematology,11 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,St George`s University Hospitals NHS Foundation Trust,Maxillofacial Surgery,20 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,St George`s University Hospitals NHS Foundation Trust,Neurology,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,St George`s University Hospitals NHS Foundation Trust,Neurosurgery,23 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,St George`s University Hospitals NHS Foundation Trust,Oral Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,St George`s University Hospitals NHS Foundation Trust,Orthopaedics,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,St George`s University Hospitals NHS Foundation Trust,Paediatrics,12 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,St George`s University Hospitals NHS Foundation Trust,Paediatric Surgery,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,St George`s University Hospitals NHS Foundation Trust,Pain Management,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,St George`s University Hospitals NHS Foundation Trust,Plastic Surgery,16 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,St George`s University Hospitals NHS Foundation Trust,Upper Gastrointestinal Surgery,22 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,St George`s University Hospitals NHS Foundation Trust,Urology,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,St George`s University Hospitals NHS Foundation Trust,Vascular,20 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Blackheath Hospital – Circle,Gastroenterology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Blackheath Hospital – Circle,General Surgery,13 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Blackheath Hospital – Circle,Gynaecology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Blackheath Hospital – Circle,Ophthalmology,13 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Blackheath Hospital – Circle,Orthopaedics,13 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Blackheath Hospital – Circle,Pain Management,10 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Blackheath Hospital – Circle,Urology,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Cavell Hospital – Circle,"Ear, Nose and Throat",n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Cavell Hospital – Circle,Gastroenterology,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Cavell Hospital – Circle,General Surgery,13 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Cavell Hospital – Circle,Gynaecology,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Cavell Hospital – Circle,Orthopaedics,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Cavell Hospital – Circle,Pain Management,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Cavell Hospital – Circle,Urology,17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Clementine Churchill Hospital – Circle,"Ear, Nose and Throat",n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Clementine Churchill Hospital – Circle,Gastroenterology,7 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Clementine Churchill Hospital – Circle,General Surgery,8 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Clementine Churchill Hospital – Circle,Gynaecology,11 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Clementine Churchill Hospital – Circle,Ophthalmology,9 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Clementine Churchill Hospital – Circle,Orthopaedics,8 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Clementine Churchill Hospital – Circle,Urology,11 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Hillingdon Hospitals NHS Foundation Trust,Breast,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Hillingdon Hospitals NHS Foundation Trust,Cardiology,16 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Hillingdon Hospitals NHS Foundation Trust,Colorectal,20 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Hillingdon Hospitals NHS Foundation Trust,Dermatology,12 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Hillingdon Hospitals NHS Foundation Trust,"Ear, Nose and Throat",20 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Hillingdon Hospitals NHS Foundation Trust,Gastroenterology,17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Hillingdon Hospitals NHS Foundation Trust,General Surgery,20 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Hillingdon Hospitals NHS Foundation Trust,Gynaecology,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Hillingdon Hospitals NHS Foundation Trust,Haematology,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Hillingdon Hospitals NHS Foundation Trust,Neurology,22 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Hillingdon Hospitals NHS Foundation Trust,Ophthalmology,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Hillingdon Hospitals NHS Foundation Trust,Oral Surgery,17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Hillingdon Hospitals NHS Foundation Trust,Orthopaedics,27 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Hillingdon Hospitals NHS Foundation Trust,Paediatrics,13 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Hillingdon Hospitals NHS Foundation Trust,Paediatric Surgery,12 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Hillingdon Hospitals NHS Foundation Trust,Pain Management,17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Hillingdon Hospitals NHS Foundation Trust,Urology,17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Hillingdon Hospitals NHS Foundation Trust,Vascular,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Kings Oak Hospital – Circle,"Ear, Nose and Throat",n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Kings Oak Hospital – Circle,Gastroenterology,11 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Kings Oak Hospital – Circle,General Surgery,16 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Kings Oak Hospital – Circle,Gynaecology,17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Kings Oak Hospital – Circle,Orthopaedics,13 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Kings Oak Hospital – Circle,Pain Management,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Kings Oak Hospital – Circle,Urology,16 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Sloane Hospital – Circle,General Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Sloane Hospital – Circle,Gynaecology,19 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Sloane Hospital – Circle,Ophthalmology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Sloane Hospital – Circle,Orthopaedics,16 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Sloane Hospital – Circle,Pain Management,10 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,The Sloane Hospital – Circle,Urology,10 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,University College London Hospitals NHS Foundation Trust,Breast,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,University College London Hospitals NHS Foundation Trust,Cardiology,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,University College London Hospitals NHS Foundation Trust,Colorectal,17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,University College London Hospitals NHS Foundation Trust,Dermatology,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,University College London Hospitals NHS Foundation Trust,"Ear, Nose and Throat",23 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,University College London Hospitals NHS Foundation Trust,Gastroenterology,11 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,University College London Hospitals NHS Foundation Trust,General Surgery,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,University College London Hospitals NHS Foundation Trust,Gynaecology,22 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,University College London Hospitals NHS Foundation Trust,Maxillofacial Surgery,20 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,University College London Hospitals NHS Foundation Trust,Neurology,16 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,University College London Hospitals NHS Foundation Trust,Neurosurgery,20 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,University College London Hospitals NHS Foundation Trust,Oral Surgery,11 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,University College London Hospitals NHS Foundation Trust,Orthopaedics,16 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,University College London Hospitals NHS Foundation Trust,Paediatrics,12 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,University College London Hospitals NHS Foundation Trust,Paediatric Surgery,16 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,University College London Hospitals NHS Foundation Trust,Pain Management,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,University College London Hospitals NHS Foundation Trust,Upper Gastrointestinal Surgery,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,University College London Hospitals NHS Foundation Trust,Urology,20 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,University College London Hospitals NHS Foundation Trust,Vascular,20 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,Whittington Health NHS Trust,Breast,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,Whittington Health NHS Trust,Cardiology,17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,Whittington Health NHS Trust,Dermatology,11 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,Whittington Health NHS Trust,Gastroenterology,9 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,Whittington Health NHS Trust,General Medicine,25 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,Whittington Health NHS Trust,General Surgery,20 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,Whittington Health NHS Trust,Gynaecology,13 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,Whittington Health NHS Trust,Ophthalmology,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,Whittington Health NHS Trust,Orthopaedics,17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,Whittington Health NHS Trust,Pain Management,17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,Whittington Health NHS Trust,Spinal Surgery,18 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
London,Whittington Health NHS Trust,Urology,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Alfreton – One Health Group,Spinal Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Ashby de la Zouch – Independent Health Group,General Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Barlborough – Newmedica,Ophthalmology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Barlborough – Practice Plus Group,General Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Barlborough – Practice Plus Group,Ophthalmology,7 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Barlborough – Practice Plus Group,Orthopaedics,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Barlborough – Practice Plus Group,Spinal Surgery,16 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Beacon Park Hospital – Ramsay,Gastroenterology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Beacon Park Hospital – Ramsay,General Surgery,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Beacon Park Hospital – Ramsay,Gynaecology,19 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Beacon Park Hospital – Ramsay,Ophthalmology,9 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Beacon Park Hospital – Ramsay,Orthopaedics,18 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Beacon Park Hospital – Ramsay,Pain Management,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Birmingham – Newmedica,Ophthalmology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Birmingham – Optegra,Ophthalmology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Birmingham – Spamedica,Ophthalmology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Birmingham Women`s and Children`s NHS Foundation Trust,Gynaecology,20 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Birmingham Women`s and Children`s NHS Foundation Trust,Paediatrics,6 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Birmingham Women`s and Children`s NHS Foundation Trust,Paediatric Surgery,23 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Birmingham Women`s and Children`s NHS Foundation Trust,Spinal Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Boston West Hospital – Ramsay,Gastroenterology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Boston West Hospital – Ramsay,General Surgery,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Boston West Hospital – Ramsay,Gynaecology,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Boston West Hospital – Ramsay,Ophthalmology,11 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Boston West Hospital – Ramsay,Orthopaedics,19 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Boston West Hospital – Ramsay,Paediatric Physiotherapy,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Boston West Hospital – Ramsay,Spinal Surgery,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Boston West Hospital – Ramsay,Urology,11 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Chesterfield – One Health Group,General Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Chesterfield – One Health Group,Gynaecology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Chesterfield – One Health Group,Orthopaedics,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Chesterfield – One Health Group,Spinal Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Chesterfield Royal Hospital NHS Foundation Trust,Breast,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Chesterfield Royal Hospital NHS Foundation Trust,Cardiac Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Chesterfield Royal Hospital NHS Foundation Trust,Cardiology,25 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Chesterfield Royal Hospital NHS Foundation Trust,Colorectal,18 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Chesterfield Royal Hospital NHS Foundation Trust,Dermatology,23 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Chesterfield Royal Hospital NHS Foundation Trust,"Ear, Nose and Throat",17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Chesterfield Royal Hospital NHS Foundation Trust,Endoscopy,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Chesterfield Royal Hospital NHS Foundation Trust,Gastroenterology,20 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Chesterfield Royal Hospital NHS Foundation Trust,General Surgery,25 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Chesterfield Royal Hospital NHS Foundation Trust,Gynaecology,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Chesterfield Royal Hospital NHS Foundation Trust,Maxillofacial Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Chesterfield Royal Hospital NHS Foundation Trust,Ophthalmology,17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Chesterfield Royal Hospital NHS Foundation Trust,Oral Surgery,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Chesterfield Royal Hospital NHS Foundation Trust,Orthopaedics,26 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Chesterfield Royal Hospital NHS Foundation Trust,Paediatric Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Chesterfield Royal Hospital NHS Foundation Trust,Pain Management,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Chesterfield Royal Hospital NHS Foundation Trust,Respiratory,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Chesterfield Royal Hospital NHS Foundation Trust,Rheumatology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Chesterfield Royal Hospital NHS Foundation Trust,Upper Gastrointestinal Surgery,30 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Chesterfield Royal Hospital NHS Foundation Trust,Urology,19 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Chesterfield Royal Hospital NHS Foundation Trust,Vascular,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Coventry – CHEC,Ophthalmology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Coventry – Spamedica,Ophthalmology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Derby – Nuffield,Orthopaedics,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Derby – One Health Group,Orthopaedics,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Derby – Spamedica,Ophthalmology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Earl Shilton – Independent Health Group,General Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,George Eliot Hospital NHS Trust,Breast,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,George Eliot Hospital NHS Trust,Cardiology,16 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,George Eliot Hospital NHS Trust,"Ear, Nose and Throat",n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,George Eliot Hospital NHS Trust,General Surgery,22 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,George Eliot Hospital NHS Trust,Gynaecology,23 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,George Eliot Hospital NHS Trust,Maxillofacial Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,George Eliot Hospital NHS Trust,Ophthalmology,11 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,George Eliot Hospital NHS Trust,Oral Surgery,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,George Eliot Hospital NHS Trust,Orthopaedics,17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,George Eliot Hospital NHS Trust,Pain Management,18 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,George Eliot Hospital NHS Trust,Plastic Surgery,25 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,George Eliot Hospital NHS Trust,Urology,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Glendon Wood Hospital – Ramsay,Gastroenterology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Glendon Wood Hospital – Ramsay,General Surgery,12 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Glendon Wood Hospital – Ramsay,Ophthalmology,10 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Glendon Wood Hospital – Ramsay,Orthopaedics,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Glendon Wood Hospital – Ramsay,Pain Management,23 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Grantham – One Health Group,Spinal Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Hereford (Wye Valley) – Nuffield,General Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Hereford (Wye Valley) – Nuffield,Orthopaedics,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Kettering General Hospital NHS Foundation Trust,Breast,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Kettering General Hospital NHS Foundation Trust,Cardiology,12 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Kettering General Hospital NHS Foundation Trust,Colorectal,7 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Kettering General Hospital NHS Foundation Trust,Dermatology,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Kettering General Hospital NHS Foundation Trust,"Ear, Nose and Throat",14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Kettering General Hospital NHS Foundation Trust,Gastroenterology,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Kettering General Hospital NHS Foundation Trust,General Surgery,12 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Kettering General Hospital NHS Foundation Trust,Gynaecology,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Kettering General Hospital NHS Foundation Trust,Haematology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Kettering General Hospital NHS Foundation Trust,Maxillofacial Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Kettering General Hospital NHS Foundation Trust,Neurology,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Kettering General Hospital NHS Foundation Trust,Obstetrics,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Kettering General Hospital NHS Foundation Trust,Oncology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Kettering General Hospital NHS Foundation Trust,Ophthalmology,13 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Kettering General Hospital NHS Foundation Trust,Oral Surgery,25 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Kettering General Hospital NHS Foundation Trust,Orthopaedics,17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Kettering General Hospital NHS Foundation Trust,Paediatrics,13 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Kettering General Hospital NHS Foundation Trust,Paediatric Surgery,18 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Kettering General Hospital NHS Foundation Trust,Pain Management,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Kettering General Hospital NHS Foundation Trust,Plastic Surgery,13 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Kettering General Hospital NHS Foundation Trust,Respiratory,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Kettering General Hospital NHS Foundation Trust,Rheumatology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Kettering General Hospital NHS Foundation Trust,Spinal Surgery,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Kettering General Hospital NHS Foundation Trust,Urology,13 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Kettering General Hospital NHS Foundation Trust,Vascular,26 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Kibworth – Independent Health Group,General Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Leicester – CHEC,Ophthalmology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Leicester – Independent Health Group,General Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Leicester – Newmedica,Ophthalmology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Leicester – Nuffield,Orthopaedics,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Leicester – One Health Group,Orthopaedics,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Leicester – Spamedica,Ophthalmology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Leicester Hospital – Spire,Orthopaedics,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Lincoln – Newmedica,Ophthalmology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Lincoln – One Health Group,Orthopaedics,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
Midlands,Lincoln – One Health Group,Spinal Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
